pathway,metabolite,leg_pig,leg_human,heart_pig,heart_human,kidney_pig,kidney_human,liver_pig
Glycolysis,glucose,-0.107,-0.063,-0.054,0.003,0.17,,0.282
Glycolysis,pyruvate,0.109,0.203,-0.116,-0.003,0.13,0.287,-0.312
Glycolysis,lactate,0.101,0.167,-0.103,-0.085,-0.235,-0.04,-0.173
Ketone,3-hydroxybutyrate (β-hydroxybutyrate),-0.436,-0.79,-0.157,-0.368,-0.272,0.075,0.264
Ketone,acetoacetate,-0.725,-1.046,-0.255,-0.388,-0.558,,0.379
TCA Cycle,aconitate,-0.021,0.072,0.246,-0.063,-0.94,,-0.206
TCA Cycle,a-ketoglutarate,0.322,-0.056,-0.104,-0.052,-0.513,0.214,-0.442
TCA Cycle,citrate,0.339,0.208,0.222,0.04,-0.809,0.015,-0.214
TCA Cycle,fumarate,0.561,0.135,0.114,0.044,-0.954,-0.044,-0.303
TCA Cycle,malate,0.584,0.086,-0.024,0.041,-1.479,-1.146,-0.32
TCA Cycle,succinate,0.659,0.242,-0.11,0.13,-0.739,-0.229,-0.568
SCFA Ester,formate,-0.102,,-0.227,,0.502,,0.215
SCFA Ester,acetate,-1.551,-0.527,0.007,-0.322,-1.058,,-0.664
SCFA Ester,propionate,-0.883,,-0.448,,-0.941,,-3.542
SCFA Ester,butyrate,-0.958,-0.081,-0.551,0.037,-0.72,,-1.048
SCFA Carnitine,butyryl carnitine or Isobutyryl carnitine C4,-0.445,-0.02,0.044,0.013,-0.965,-0.149,-0.118
SCFA Carnitine,isovaleryl carnitine C5,-0.356,0.06,0.124,-0.02,-1.073,-0.214,-0.191
SCFA Carnitine,tiglyl carnitine or methylcrotonyl carnitine C5:1,-0.237,-0.08,0.038,-0.017,-0.073,-0.066,0.143
MCFA Carnitine,hexanoyl carnitine C6,-0.019,-0.247,0.1,-0.033,-0.832,-0.319,0.03
MCFA Carnitine,octanoyl carnitine C8,0.459,0.162,-0.082,0.038,-2.344,-0.816,-0.013
MCFA Carnitine,decanoyl carnitine C10,0.789,0.171,0.077,0.036,-2.863,-0.879,-0.212
MCFA Carnitine,decenoyl carnitine C10:1,0.2,0.097,0.033,0.041,-2.878,-0.891,-0.158
MCFA Carnitine,lauroyl carnitine C12,0.627,0.032,0.138,0.021,-1.772,-0.465,-0.158
MCFA Carnitine,dodecenoyl carnitine C12:1,0.531,-0.002,-0.225,0.01,-2.165,-0.664,0.089
LCFA Carnitine,myristoyl carnitine C14,0.322,-0.099,-0.296,-0.013,0.044,-0.165,0.083
LCFA Carnitine,tetradecenoyl carnitine C14:1,0.661,-0.071,-0.424,-0.043,-0.876,-0.283,0.026
LCFA Carnitine,tetradecadienoyl carnitine C14:2,1.111,-0.093,-0.336,-0.03,-1.897,-0.453,-0.256
LCFA Carnitine,palmitoyl carnitine C16,0.235,-0.084,-0.061,0.005,-0.069,-0.139,0.093
LCFA Carnitine,hexadecenoyl carnitine C16:1,0.756,-0.172,-0.288,-0.086,-0.326,-0.142,-0.038
LCFA Carnitine,stearoyl carnitine C18,0.108,-0.036,-0.033,0.003,0.073,-0.056,0.013
LCFA Carnitine,oleyl carnitine C18:1,0.425,-0.051,-0.055,-0.027,-0.196,,-0.028
LCFA Carnitine,arachidoyl carnitine eicosanoyl carnitine C20,0.187,-0.076,-0.034,0,0.158,,-0.396
LCFA,C14:0,0.078,0.196,-0.385,-0.08,-0.079,,-0.262
LCFA,C14:1,0.99,0.389,-0.526,-0.06,0.111,,-1.057
LCFA,C14:2,0.784,0.143,-0.415,0.167,0.137,,-0.833
LCFA,C15:0,0.077,0.117,-0.102,-0.019,-0.176,,-0.302
LCFA,C15:1,0.461,0.185,-0.284,-0.128,-0.119,,-0.623
LCFA,C16:0,0.095,0.014,-0.329,-0.061,-0.128,,-0.196
LCFA,C16:1,0.534,0.213,-0.684,-0.095,-0.241,,-0.692
LCFA,C16:2,0.592,0.193,-0.451,-0.075,-0.19,,-0.802
LCFA,C17:0,0.107,0.008,-0.262,-0.011,-0.049,,-0.124
LCFA,C17:1,0.363,0.102,-0.756,-0.084,-0.164,,-0.452
LCFA,C17:2,0.703,0.086,-0.538,-0.109,-0.141,,-0.699
LCFA,C18:0,0.018,-0.079,-0.156,-0.032,-0.005,,-0.039
LCFA,C18:1,0.34,0.031,-0.736,-0.1,-0.082,,-0.368
LCFA,C18:2,0.446,0.066,-0.586,-0.095,-0.073,,-0.454
LCFA,C18:3,0.5,0.09,-0.404,-0.073,-0.152,,-0.592
LCFA,C18:4,0.613,0.168,0.116,0.017,-0.316,,-0.456
LCFA,C19:0,0.039,-0.083,-0.297,-0.025,0.139,,-0.059
LCFA,C19:1,0.272,-0.008,-0.652,-0.086,-0.03,,-0.243
LCFA,C19:2,0.305,0.06,-0.539,-0.038,-0.123,,-0.245
LCFA,C19:3,0.477,0.329,-0.367,0.115,-0.125,,-0.901
LCFA,C20:0,-0.128,-0.109,-0.147,-0.074,-0.076,,-0.157
LCFA,C20:1,0.328,-0.036,-0.694,-0.142,-0.033,,-0.314
LCFA,C20:2,0.308,0.028,-0.565,-0.069,-0.081,,-0.354
LCFA,C20:3,0.345,0.079,-0.385,-0.058,-0.045,,-0.457
LCFA,C20:4,0.512,0.159,0.395,-0.074,0.069,,-0.202
